group,roi,episode_id,segment_rows,tr_rows,warning_count,failed_batches,zero_filled_segments,mean_score_value,std_score_value,nonzero_value_rate,all_zero_segment_rate,all_zero_tr_rate,provider,model
round5_add10,VMPFC,s02e04b,259,454,0,0,0,1.62699944842802,2.1027302632161966,0.5099282956425814,0.003861003861003861,0.00881057268722467,aihubmix,gemini-3.5-flash
round5_add10,VMPFC,s02e05b,264,455,0,0,0,1.3449675324675325,1.8602170773066877,0.4843073593073593,0.007575757575757576,0.008791208791208791,aihubmix,gemini-3.5-flash
round5_add10,VMPFC,s03e01a,269,491,0,0,0,1.0862984599044079,1.4805297705983507,0.4593733404142326,0.011152416356877323,0.014256619144602852,aihubmix,gemini-3.5-flash
round5_add10,VMPFC,s03e01b,264,491,0,0,0,1.583603896103896,1.509365280086106,0.7470238095238095,0.011363636363636364,0.012219959266802444,aihubmix,gemini-3.5-flash
round5_add10,VMPFC,s03e02a,272,475,0,0,0,1.6628151260504203,1.8354766214818692,0.6194852941176471,0.0,0.0,aihubmix,gemini-3.5-flash
round5_add10,VMPFC,s03e02b,282,475,0,0,0,1.9070415400202634,2.072818505448987,0.6360182370820668,0.0070921985815602835,0.01263157894736842,aihubmix,gemini-3.5-flash
round5_add10,VMPFC,s03e03a,253,454,0,0,0,1.2220496894409938,1.4838779675190985,0.5482778091473743,0.0,0.0,aihubmix,gemini-3.5-flash
round5_add10,VMPFC,s03e03b,284,454,0,0,0,1.4288229376257546,1.63377770839232,0.5975855130784709,0.007042253521126761,0.011013215859030838,aihubmix,gemini-3.5-flash
round5_add10,VMPFC,s03e04a,268,473,0,0,0,1.5094616204690832,1.6632002599217481,0.619136460554371,0.007462686567164179,0.006342494714587738,aihubmix,gemini-3.5-flash
round5_add10,OFC,s02e03b,255,464,0,0,0,0.4681372549019608,1.1090305756661532,0.184640522875817,0.12156862745098039,0.0625,aihubmix,gemini-3.5-flash
round5_add10,OFC,s02e04b,259,454,0,0,0,0.6674710424710425,1.2655825801501377,0.2776705276705277,0.007722007722007722,0.015418502202643172,aihubmix,gemini-3.5-flash
round5_add10,OFC,s02e05b,264,455,0,0,0,1.0651830808080809,1.6580068292303103,0.4008838383838384,0.056818181818181816,0.02857142857142857,aihubmix,gemini-3.5-flash
round5_add10,OFC,s03e01a,269,491,0,0,0,0.6576827757125155,1.1451691902674348,0.31226765799256506,0.10037174721189591,0.038696537678207736,aihubmix,gemini-3.5-flash
round5_add10,OFC,s03e01b,264,491,0,0,0,0.6084280303030303,1.2394765323981802,0.2755681818181818,0.045454545454545456,0.020366598778004074,aihubmix,gemini-3.5-flash
round5_add10,OFC,s03e02a,272,475,0,0,0,0.5908394607843137,1.0832837611033859,0.3005514705882353,0.029411764705882353,0.008421052631578947,aihubmix,gemini-3.5-flash
round5_add10,OFC,s03e02b,282,475,0,0,0,0.9060283687943262,1.4942874893574054,0.35726950354609927,0.010638297872340425,0.014736842105263158,aihubmix,gemini-3.5-flash
round5_add10,OFC,s03e03a,253,454,0,0,0,0.5345849802371542,1.0275148423951155,0.2855731225296443,0.07114624505928854,0.05066079295154185,aihubmix,gemini-3.5-flash
round5_add10,OFC,s03e03b,284,454,0,0,0,0.7420774647887324,1.253198500742048,0.3477112676056338,0.03169014084507042,0.013215859030837005,aihubmix,gemini-3.5-flash
round5_add10,OFC,s03e04a,268,473,0,0,0,0.7193718905472637,1.2175493200573222,0.3240049751243781,0.10820895522388059,0.048625792811839326,aihubmix,gemini-3.5-flash
round5_add10,ACC,s02e03b,255,464,0,0,0,1.1235294117647059,1.4479313486182344,0.5493464052287582,0.00784313725490196,0.008620689655172414,aihubmix,gemini-3.5-flash
round5_add10,ACC,s02e04b,259,454,0,0,0,1.2363256113256114,1.5893253992611442,0.5212355212355212,0.04247104247104247,0.024229074889867842,aihubmix,gemini-3.5-flash
round5_add10,ACC,s02e05b,264,455,0,0,0,1.402462121212121,1.818627381879189,0.5192550505050505,0.026515151515151516,0.017582417582417582,aihubmix,gemini-3.5-flash
round5_add10,ACC,s03e01a,269,491,0,0,0,0.8271375464684015,1.1150572957935976,0.4798636926889715,0.0037174721189591076,0.0,aihubmix,gemini-3.5-flash
round5_add10,ACC,s03e01b,264,491,0,0,0,0.9671717171717171,1.3540746890192232,0.4586489898989899,0.09848484848484848,0.10386965376782077,aihubmix,gemini-3.5-flash
round5_add10,ACC,s03e02a,272,475,0,0,0,1.796875,1.669207143909036,0.758578431372549,0.003676470588235294,0.002105263157894737,aihubmix,gemini-3.5-flash
round5_add10,ACC,s03e02b,282,475,0,0,0,1.8711583924349882,1.8149322401614771,0.7239952718676123,0.0070921985815602835,0.01263157894736842,aihubmix,gemini-3.5-flash
round5_add10,ACC,s03e03a,253,454,0,0,0,0.9151844532279315,1.0737633443176364,0.5500658761528326,0.039525691699604744,0.024229074889867842,aihubmix,gemini-3.5-flash
round5_add10,ACC,s03e03b,284,454,0,0,0,0.9266431924882629,1.3858842364425157,0.4369131455399061,0.2147887323943662,0.14317180616740088,aihubmix,gemini-3.5-flash
round5_add10,ACC,s03e04a,268,473,0,0,0,1.0143034825870647,1.3463307007045162,0.4773009950248756,0.08955223880597014,0.05496828752642706,aihubmix,gemini-3.5-flash
round5_add10,PCC,s02e03b,255,464,0,0,0,2.5990196078431373,1.8377395409933817,0.8163398692810457,0.0,0.0,aihubmix,gemini-3.5-flash
round5_add10,PCC,s02e04b,259,454,0,0,0,3.2036679536679538,2.4295463946640385,0.8342985842985843,0.0,0.0,aihubmix,gemini-3.5-flash
round5_add10,PCC,s02e05b,264,455,0,0,0,3.076546717171717,2.1843456637808294,0.8529040404040404,0.0,0.0,aihubmix,gemini-3.5-flash
round5_add10,PCC,s03e01a,269,491,0,0,0,2.1906753407682777,1.7352127352586535,0.7812887236679058,0.0,0.0,aihubmix,gemini-3.5-flash
round5_add10,PCC,s03e01b,264,491,0,0,0,2.883522727272727,1.984155982812323,0.8263888888888888,0.0,0.0,aihubmix,gemini-3.5-flash
round5_add10,PCC,s03e02a,272,475,0,0,0,2.5470281862745097,1.717933734281391,0.8483455882352942,0.0,0.0,aihubmix,gemini-3.5-flash
round5_add10,PCC,s03e02b,282,475,0,0,0,2.957890070921986,2.0127584584418154,0.8232860520094563,0.0,0.0,aihubmix,gemini-3.5-flash
round5_add10,PCC,s03e03a,253,454,0,0,0,2.4884716732542818,1.7034411143217598,0.8389328063241107,0.0,0.0,aihubmix,gemini-3.5-flash
round5_add10,PCC,s03e03b,284,454,0,0,0,2.565580985915493,1.9208664425604651,0.7981220657276995,0.0,0.0,aihubmix,gemini-3.5-flash
round5_add10,PCC,s03e04a,268,473,0,0,0,2.634639303482587,1.7828910836522458,0.8439054726368159,0.0,0.0,aihubmix,gemini-3.5-flash
round5_add10,Precuneus,s02e03b,255,464,0,0,0,3.50718954248366,1.7213425591391482,0.9568627450980393,0.00784313725490196,0.008620689655172414,aihubmix,gemini-3.5-flash
